                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2942,                 1.1075,                 1.2782,                0.70562,                0.65798,                0.74164,                0.52815,                 1.6097,                 1.3995,                 1.5077,              0.0004878,              0.0004878,              0.0004878
                     35,                 1.3019,                 1.0906,                 1.2864,                0.75315,                0.69668,                0.78342,                0.55947,                 1.5988,                 1.4224,                 1.4933,             0.00048074,             0.00048074,             0.00048074
                     36,                 1.2941,                 1.0857,                 1.2676,                 0.7409,                0.64652,                  0.749,                0.52649,                  1.602,                 1.4181,                 1.4846,             0.00047367,             0.00047367,             0.00047367
                     37,                 1.2723,                 1.0562,                  1.257,                0.68688,                0.65402,                0.73214,                0.52217,                  1.608,                 1.4106,                 1.5079,              0.0004666,              0.0004666,              0.0004666
                     38,                 1.2787,                 1.0452,                 1.2619,                0.75024,                0.68873,                0.74651,                0.53676,                 1.6302,                 1.3864,                 1.5201,             0.00045953,             0.00045953,             0.00045953
                     39,                 1.2616,                 1.0508,                 1.2492,                0.70961,                0.69517,                0.76863,                0.56372,                 1.6024,                 1.3858,                 1.5085,             0.00045246,             0.00045246,             0.00045246
                     40,                 1.2467,                0.99466,                 1.2351,                0.72813,                0.66624,                0.73697,                 0.5239,                 1.5869,                  1.379,                 1.4731,             0.00044539,             0.00044539,             0.00044539
                     41,                 1.2235,                0.97233,                 1.2248,                0.71882,                 0.6989,                0.75635,                0.55346,                 1.6058,                 1.3628,                 1.4956,             0.00043832,             0.00043832,             0.00043832
                     42,                 1.2324,                0.98219,                 1.2269,                0.79407,                0.71004,                0.78223,                0.54699,                 1.6132,                 1.3615,                 1.4956,             0.00043126,             0.00043126,             0.00043126
                     43,                  1.225,                0.94865,                 1.2352,                0.73468,                0.67936,                0.74952,                0.53102,                 1.6177,                 1.3615,                 1.5096,             0.00042419,             0.00042419,             0.00042419
                     44,                 1.2097,                 0.9199,                 1.2183,                0.80015,                0.67762,                0.76904,                0.56703,                 1.6156,                 1.3824,                 1.5176,             0.00041712,             0.00041712,             0.00041712
                     45,                 1.2148,                0.95245,                 1.2181,                0.75024,                0.66616,                 0.7773,                0.57923,                 1.6066,                 1.3332,                 1.4928,             0.00041005,             0.00041005,             0.00041005
                     46,                 1.1856,                0.91588,                  1.206,                0.65837,                 0.7195,                0.73854,                0.53472,                 1.6132,                 1.3447,                 1.5069,             0.00040298,             0.00040298,             0.00040298
                     47,                 1.1987,                0.90621,                 1.1986,                0.81785,                0.67704,                0.78212,                0.57813,                 1.5917,                 1.3056,                 1.4741,             0.00039591,             0.00039591,             0.00039591
                     48,                 1.1694,                0.89794,                  1.186,                 0.7629,                0.63788,                0.74887,                0.54716,                 1.6304,                 1.3805,                 1.5208,             0.00038884,             0.00038884,             0.00038884
                     49,                 1.1597,                0.89703,                  1.183,                0.77125,                0.73653,                0.79504,                0.59318,                  1.615,                 1.2961,                 1.5013,             0.00038178,             0.00038178,             0.00038178
                     50,                  1.182,                0.87578,                 1.1832,                0.75214,                0.66385,                0.77149,                0.57238,                 1.6041,                   1.36,                  1.482,             0.00037471,             0.00037471,             0.00037471
                     51,                 1.1605,                0.85051,                 1.1687,                0.75362,                0.65897,                0.76828,                0.57043,                 1.6159,                 1.3436,                 1.4974,             0.00036764,             0.00036764,             0.00036764
                     52,                 1.1451,                0.83132,                 1.1728,                0.73322,                0.73613,                0.78346,                0.57474,                 1.6301,                 1.3062,                 1.5075,             0.00036057,             0.00036057,             0.00036057
