                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.41865,                0.35833,                 0.8197,                 0.7762,                 0.6142,                0.70641,                0.52463,                 1.7899,                 1.6751,                 1.9017,             0.00048074,             0.00048074,             0.00048074
                     36,                0.41355,                0.35197,                0.81869,                0.73061,                0.62408,                0.70605,                0.52901,                 1.7964,                 1.6739,                 1.9461,             0.00047367,             0.00047367,             0.00047367
                     37,                0.40118,                0.34269,                0.81651,                0.73138,                0.65479,                0.71223,                  0.521,                 1.7957,                  1.673,                 1.9272,              0.0004666,              0.0004666,              0.0004666
                     38,                0.39759,                 0.3406,                0.81511,                0.82512,                0.59413,                0.71419,                0.52785,                 1.8124,                 1.6317,                 1.9477,             0.00045953,             0.00045953,             0.00045953
                     39,                0.38692,                0.33141,                0.80979,                0.76985,                0.61874,                0.69891,                0.52488,                 1.8297,                 1.6638,                 2.0086,             0.00045246,             0.00045246,             0.00045246
                     40,                0.37156,                0.32412,                0.80763,                0.82546,                0.55722,                0.70568,                0.52553,                 1.8101,                 1.6669,                 1.9173,             0.00044539,             0.00044539,             0.00044539
                     41,                0.37002,                0.32442,                0.80534,                0.84001,                 0.5537,                0.69339,                0.51415,                 1.7986,                 1.6888,                 1.9447,             0.00043832,             0.00043832,             0.00043832
                     42,                0.36171,                0.31808,                 0.8032,                0.80322,                0.61475,                0.72018,                0.53838,                  1.787,                 1.5787,                 1.9353,             0.00043126,             0.00043126,             0.00043126
                     43,                0.34604,                0.30853,                0.80099,                0.80447,                0.57873,                0.70881,                0.53049,                 1.7992,                 1.6787,                 1.9232,             0.00042419,             0.00042419,             0.00042419
                     44,                0.34378,                0.30118,                0.79927,                0.73474,                0.59737,                0.68877,                0.52255,                 1.8081,                 1.6374,                 1.9512,             0.00041712,             0.00041712,             0.00041712
                     45,                0.33489,                0.30118,                0.80004,                0.79302,                0.60824,                0.69862,                0.52706,                 1.7981,                 1.6463,                 1.9578,             0.00041005,             0.00041005,             0.00041005
                     46,                0.32213,                0.29016,                0.79507,                0.74691,                0.62868,                0.71435,                0.53249,                 1.8031,                 1.6743,                 1.9836,             0.00040298,             0.00040298,             0.00040298
                     47,                0.32567,                0.28796,                 0.7953,                0.87194,                0.54527,                0.70283,                0.53082,                 1.8083,                 1.6586,                 1.9647,             0.00039591,             0.00039591,             0.00039591
                     48,                0.31429,                 0.2854,                0.79328,                 0.7523,                0.60952,                0.70976,                 0.5267,                 1.8109,                 1.6816,                 1.9921,             0.00038884,             0.00038884,             0.00038884
                     49,                0.30837,                0.27986,                0.79044,                0.67337,                0.63846,                0.68717,                0.50689,                 1.7896,                 1.6984,                 1.9729,             0.00038178,             0.00038178,             0.00038178
                     50,                0.30186,                0.27542,                0.78941,                0.80985,                0.56855,                0.69205,                0.51591,                 1.7921,                 1.6741,                 1.9775,             0.00037471,             0.00037471,             0.00037471
                     51,                 0.2937,                0.27196,                0.78819,                0.77931,                0.57474,                0.70333,                0.51779,                 1.7795,                 1.6799,                 1.9722,             0.00036764,             0.00036764,             0.00036764
                     52,                0.28857,                0.26801,                0.78738,                0.70195,                0.62594,                0.69585,                0.52133,                 1.8057,                 1.7065,                 2.0015,             0.00036057,             0.00036057,             0.00036057
                     53,                0.28541,                0.26713,                 0.7861,                0.77409,                0.60771,                0.71051,                0.52975,                 1.7933,                 1.6587,                 1.9809,              0.0003535,              0.0003535,              0.0003535
                     54,                 0.2797,                0.25983,                0.78596,                0.83422,                0.57726,                0.70592,                0.52873,                 1.7904,                   1.69,                 1.9752,             0.00034643,             0.00034643,             0.00034643
                     55,                0.27209,                0.25844,                 0.7837,                0.78207,                0.58536,                 0.7015,                0.52234,                 1.7763,                 1.6357,                 1.9855,             0.00033936,             0.00033936,             0.00033936
                     56,                0.27039,                0.25589,                0.78368,                0.83026,                0.56933,                0.70413,                 0.5416,                  1.784,                 1.6549,                 2.0017,              0.0003323,              0.0003323,              0.0003323
                     57,                0.26505,                0.25353,                0.78277,                0.83847,                0.58607,                0.71452,                0.54327,                 1.7933,                 1.6327,                 2.0052,             0.00032523,             0.00032523,             0.00032523
                     58,                 0.2584,                0.24959,                0.77988,                0.82861,                0.55741,                0.71326,                0.53714,                 1.7876,                 1.6859,                 1.9819,             0.00031816,             0.00031816,             0.00031816
                     59,                0.25172,                0.24867,                0.77932,                0.81564,                0.59236,                0.71379,                0.53758,                 1.7989,                 1.6425,                  2.014,             0.00031109,             0.00031109,             0.00031109
                     60,                0.24716,                0.24367,                 0.7785,                0.74391,                0.61526,                0.71123,                0.52945,                 1.8059,                 1.6768,                 2.0246,             0.00030402,             0.00030402,             0.00030402
                     61,                0.24345,                0.24061,                0.77785,                  0.813,                0.58168,                0.71153,                0.53776,                  1.787,                 1.6863,                 1.9897,             0.00029695,             0.00029695,             0.00029695
                     62,                0.24048,                0.24119,                0.77702,                0.82235,                0.58045,                0.70162,                0.53128,                 1.7926,                  1.693,                 2.0222,             0.00028988,             0.00028988,             0.00028988
                     63,                 0.2372,                0.23601,                0.77625,                 0.8108,                0.57756,                0.71214,                0.54021,                 1.7911,                 1.7229,                 2.0195,             0.00028282,             0.00028282,             0.00028282
                     64,                0.23056,                  0.232,                0.77532,                0.83222,                0.57751,                0.71055,                0.53807,                 1.7839,                 1.6932,                 2.0133,             0.00027575,             0.00027575,             0.00027575
                     65,                0.22745,                0.22964,                0.77466,                0.72209,                0.62056,                0.70852,                0.53866,                 1.7858,                 1.7128,                 2.0275,             0.00026868,             0.00026868,             0.00026868
                     66,                0.22081,                0.22581,                0.77355,                0.79828,                0.59829,                0.71478,                0.54009,                 1.7758,                 1.7083,                 2.0178,             0.00026161,             0.00026161,             0.00026161
                     67,                 0.2189,                0.22284,                0.77369,                0.83687,                0.56712,                0.70925,                0.53976,                 1.7813,                 1.7383,                  2.041,             0.00025454,             0.00025454,             0.00025454
                     68,                0.21468,                0.22219,                0.77313,                0.76705,                0.59676,                0.70819,                0.53494,                 1.7955,                  1.745,                 2.0302,             0.00024747,             0.00024747,             0.00024747
                     69,                0.21202,                0.22167,                0.77309,                0.86229,                0.56001,                0.71197,                0.54191,                 1.7872,                 1.6905,                 2.0462,              0.0002404,              0.0002404,              0.0002404
                     70,                0.20606,                0.21788,                0.77058,                0.84752,                0.57441,                0.71643,                0.53704,                 1.8029,                 1.6964,                 2.0329,             0.00023334,             0.00023334,             0.00023334
                     71,                0.20269,                0.21616,                0.77097,                0.76032,                0.62569,                0.72511,                0.54085,                 1.7799,                 1.7118,                 2.0351,             0.00022627,             0.00022627,             0.00022627
                     72,                0.19984,                0.21178,                0.77022,                0.86222,                0.57753,                0.72366,                0.54669,                 1.8034,                 1.7117,                 2.0576,              0.0002192,              0.0002192,              0.0002192
                     73,                0.19434,                0.20956,                0.77044,                 0.8303,                0.58963,                 0.7247,                0.54612,                  1.766,                 1.6868,                 1.9985,             0.00021213,             0.00021213,             0.00021213
